time,low,high,open,close,volume
1556542800,5072.01,5139.92,5128.25,5139.31,613.35
1556546400,5139.21,5173.35,5139.31,5156.06,440.21
1556550000,5132.59,5160.00,5156.05,5140.32,284.42
1556553600,5137.69,5172.58,5140.32,5155.41,348.34
1556557200,5145.94,5172.10,5155.41,5150.94,354.36
1556560800,5116.27,5155.00,5150.95,5154.17,565.35
1556564400,5137.40,5157.33,5154.26,5153.32,239.15
1556568000,5130.00,5153.33,5153.33,5131.33,356.90
1556571600,5130.00,5145.28,5131.34,5132.10,238.40
1556575200,5100.00,5142.32,5132.10,5122.15,543.30
1556578800,5119.90,5155.84,5120.74,5148.25,299.44
1556582400,5141.06,5165.49,5148.25,5149.99,252.43
1556586000,5147.98,5159.99,5151.75,5159.93,148.55
1556589600,5148.42,5164.59,5159.69,5156.27,140.52
1556593200,5138.00,5157.00,5156.27,5144.74,149.37
1556596800,5126.25,5147.54,5144.74,5132.01,174.25
1556600400,5132.00,5148.10,5132.01,5140.00,132.07
1556604000,5137.45,5150.00,5140.00,5140.28,80.23
1556607600,5141.02,5150.48,5141.55,5147.32,77.09
1556611200,5146.26,5159.99,5147.33,5155.81,116.10
1556614800,5137.63,5155.82,5155.82,5151.82,98.78
1556618400,5151.81,5196.21,5151.81,5183.49,457.82
1556622000,5180.89,5216.92,5183.40,5212.01,313.50
1556625600,5187.00,5216.93,5211.45,5212.01,391.26
1556629200,5192.01,5281.71,5212.01,5255.52,1024.90
1556632800,5241.22,5281.71,5255.08,5260.00,679.72
1556636400,5241.05,5262.45,5259.99,5258.33,350.74
1556640000,5230.88,5261.00,5259.00,5245.64,356.06
1556643600,5226.59,5249.99,5245.63,5231.79,317.40
1556647200,5228.07,5249.99,5231.79,5249.99,236.16
1556650800,5233.07,5250.00,5249.99,5235.71,308.56
1556654400,5225.55,5244.01,5235.70,5236.13,513.65
1556658000,5234.00,5259.00,5236.12,5258.99,177.39
1556661600,5258.99,5285.00,5259.00,5284.73,449.33
1556665200,5256.55,5284.74,5284.74,5270.69,325.04
1556668800,5265.61,5329.80,5270.68,5299.95,653.78
1556672400,5296.70,5312.83,5301.32,5303.57,259.69
1556676000,5303.56,5341.90,5303.56,5326.20,283.36
1556679600,5303.35,5330.00,5326.20,5315.59,288.20
1556683200,5304.34,5325.00,5315.60,5310.50,179.99
1556686800,5310.49,5323.93,5310.50,5318.01,120.96
1556690400,5310.87,5320.00,5318.00,5320.00,69.23
1556694000,5309.29,5323.26,5320.00,5309.30,84.66
1556697600,5285.69,5309.30,5309.30,5292.35,205.07
1556701200,5288.80,5303.72,5292.34,5300.60,154.09
1556704800,5295.31,5304.82,5300.61,5304.82,72.11
1556708400,5304.64,5317.99,5304.82,5313.03,193.14
1556712000,5276.65,5314.47,5313.47,5292.47,232.03
1556715600,5278.55,5292.48,5292.48,5288.98,369.05
1556719200,5281.00,5296.73,5288.98,5282.47,394.15
1556722800,5280.01,5296.63,5282.48,5296.47,312.98
1556726400,5288.50,5300.00,5296.47,5289.55,232.04
1556730000,5288.50,5358.39,5289.55,5352.82,909.05
1556733600,5290.38,5352.83,5352.82,5309.99,911.77
1556737200,5286.00,5310.00,5310.00,5304.03,449.54
1556740800,5302.61,5311.94,5304.02,5308.00,268.12
1556744400,5290.88,5317.41,5306.57,5297.87,264.02
1556748000,5290.00,5304.79,5297.87,5299.52,194.84
1556751600,5297.68,5330.00,5300.00,5321.15,225.18
1556755200,5314.90,5330.00,5321.15,5322.90,328.12
1556758800,5314.99,5328.84,5322.90,5316.12,138.61
1556762400,5316.12,5329.78,5316.13,5324.53,172.24
1556766000,5319.73,5337.86,5324.54,5330.67,173.72
1556769600,5306.09,5330.68,5330.68,5319.99,222.19
1556773200,5315.83,5331.28,5320.02,5325.09,110.09
1556776800,5321.00,5328.81,5325.09,5328.81,93.46
1556780400,5326.72,5352.54,5328.81,5341.68,373.94
1556784000,5339.08,5375.00,5340.77,5375.00,203.21
1556787600,5340.00,5382.50,5375.00,5350.18,379.12
1556791200,5346.10,5369.19,5350.18,5357.78,138.38
1556794800,5357.78,5370.00,5357.78,5365.35,114.32
1556798400,5360.00,5381.82,5366.90,5365.86,329.43
1556802000,5340.00,5375.55,5365.95,5372.66,423.00
1556805600,5360.39,5397.00,5374.99,5380.00,432.24
1556809200,5379.99,5422.99,5379.99,5405.56,1010.78
1556812800,5370.00,5416.96,5405.56,5378.02,692.30
1556816400,5378.01,5399.68,5378.02,5392.45,345.74
1556820000,5387.89,5402.85,5392.46,5387.89,281.09
1556823600,5384.54,5415.00,5387.90,5400.42,244.57
1556827200,5388.66,5408.00,5400.44,5408.00,284.89
1556830800,5398.71,5417.00,5406.21,5404.04,269.25
1556834400,5394.81,5408.03,5404.04,5398.44,339.41
1556838000,5390.00,5401.98,5398.44,5390.01,225.30
1556841600,5363.00,5409.00,5390.00,5409.00,456.35
1556845200,5400.09,5442.00,5408.99,5427.16,405.29
1556848800,5424.19,5481.18,5427.16,5467.52,809.46
1556852400,5452.34,5478.00,5468.91,5462.63,315.69
1556856000,5453.04,5502.99,5462.62,5481.91,554.55
1556859600,5470.23,5498.28,5480.72,5490.80,217.26
1556863200,5490.80,5565.86,5490.81,5518.69,918.09
1556866800,5518.69,5602.91,5518.69,5587.12,767.88
1556870400,5554.89,5724.45,5587.10,5674.28,2211.75
1556874000,5660.24,5796.93,5674.29,5782.46,1820.43
1556877600,5657.00,5784.02,5784.02,5676.99,2004.65
1556881200,5662.61,5728.82,5677.00,5699.99,1067.80
1556884800,5695.06,5752.11,5697.24,5712.32,690.59
1556888400,5708.69,5757.12,5712.32,5738.74,923.53
1556892000,5709.00,5769.40,5738.57,5723.98,1125.09
1556895600,5671.18,5730.85,5723.98,5711.27,1014.08
1556899200,5687.70,5727.97,5711.29,5690.98,460.48
1556902800,5621.70,5703.00,5691.40,5666.02,1233.33
1556906400,5648.49,5706.91,5666.02,5690.92,666.54
1556910000,5670.00,5690.93,5690.92,5671.98,373.33
1556913600,5671.99,5711.65,5671.99,5689.78,759.23
1556917200,5671.98,5702.00,5689.78,5694.00,328.25
1556920800,5646.31,5694.00,5693.99,5680.00,380.65
